
Hepatocyte	O
nuclear	O
factor	O
-	O
6	O
:	O
associations	O
between	O
genetic	O
variability	O
and	O
type	B-Disease
II	I-Disease
diabetes	I-Disease
and	O
between	O
genetic	O
variability	O
and	O
estimates	O
of	O
insulin	O
secretion	O
.	O
	
The	O
transcription	O
factor	O
hepatocyte	O
nuclear	O
factor	O
(	O
HNF	O
)-	O
6	O
is	O
an	O
upstream	O
regulator	O
of	O
several	O
genes	O
involved	O
in	O
the	O
pathogenesis	O
of	O
maturity	B-Disease
-	I-Disease
onset	I-Disease
diabetes	I-Disease
of	O
the	O
young	O
.	O
	
We	O
therefore	O
tested	O
the	O
hypothesis	O
that	O
variability	O
in	O
the	O
HNF	O
-	O
6	O
gene	O
is	O
associated	O
with	O
subsets	O
of	O
Type	B-Disease
II	I-Disease
(	I-Disease
non	I-Disease
-	I-Disease
insulin	I-Disease
-	I-Disease
dependent	I-Disease
)	I-Disease
diabetes	I-Disease
mellitus	I-Disease
and	O
estimates	O
of	O
insulin	O
secretion	O
in	O
glucose	B-Chemical
tolerant	O
subjects	O
.	O
	
We	O
cloned	O
the	O
coding	O
region	O
as	O
well	O
as	O
the	O
intron	O
-	O
exon	O
boundaries	O
of	O
the	O
HNF	O
-	O
6	O
gene	O
.	O
	
We	O
then	O
examined	O
them	O
on	O
genomic	O
DNA	O
in	O
six	O
MODY	O
probands	O
without	O
mutations	O
in	O
the	O
MODY1	O
","	O
MODY3	O
and	O
MODY4	O
genes	O
and	O
in	O
54	O
patients	O
with	O
late	O
-	O
onset	O
Type	B-Disease
II	I-Disease
diabetes	I-Disease
by	O
combined	O
single	O
strand	O
conformational	O
polymorphism	O
-	O
heteroduplex	O
analysis	O
followed	O
by	O
direct	O
sequencing	O
of	O
identified	O
variants	O
.	O
	
An	O
identified	O
missense	O
variant	O
was	O
examined	O
in	O
association	O
studies	O
and	O
genotype	O
-	O
phenotype	O
studies	O
.	O
	
We	O
identified	O
two	O
silent	O
and	O
one	O
missense	O
(	O
Pro75	O
Ala	O
)	O
variant	O
.	O
	
In	O
an	O
association	O
study	O
the	O
allelic	O
frequency	O
of	O
the	O
Pro75Ala	O
polymorphism	O
was	O
3	O
.	O
2	O
%	O
(	O
95	O
%	O
confidence	O
interval	O
","	O
1	O
.	O
9	O
-	O
4	O
.	O
5	O
)	O
in	O
330	O
patients	O
with	O
Type	B-Disease
II	I-Disease
diabetes	I-Disease
mellitus	I-Disease
compared	O
with	O
4	O
.	O
2	O
%	O
(	O
2	O
.	O
4	O
-	O
6	O
.	O
0	O
)	O
in	O
238	O
age	O
-	O
matched	O
glucose	B-Chemical
tolerant	O
control	O
subjects	O
.	O
	
Moreover	O
","	O
in	O
studies	O
of	O
238	O
middle	O
-	O
aged	O
glucose	B-Chemical
tolerant	O
subjects	O
","	O
of	O
226	O
glucose	B-Chemical
tolerant	O
offspring	O
of	O
Type	B-Disease
II	I-Disease
diabetic	I-Disease
patients	O
and	O
of	O
367	O
young	O
healthy	O
subjects	O
","	O
the	O
carriers	O
of	O
the	O
polymorphism	O
did	O
not	O
differ	O
from	O
non	O
-	O
carriers	O
in	O
glucose	B-Chemical
induced	O
serum	O
insulin	O
or	O
C	O
-	O
peptide	O
responses	O
.	O
	
Mutations	O
in	O
the	O
coding	O
region	O
of	O
the	O
HNF	O
-	O
6	O
gene	O
are	O
not	O
associated	O
with	O
Type	B-Disease
II	I-Disease
diabetes	I-Disease
or	O
with	O
changes	O
in	O
insulin	O
responses	O
to	O
glucose	B-Chemical
among	O
the	O
Caucasians	O
examined	O
.	O
	
	
Langerin	O
","	O
a	O
novel	O
C	O
-	O
type	O
lectin	O
specific	O
to	O
Langerhans	O
cells	O
","	O
is	O
an	O
endocytic	O
receptor	O
that	O
induces	O
the	O
formation	O
of	O
Birbeck	O
granules	O
.	O
	
We	O
have	O
identified	O
a	O
